"","participant","encoding_strategy","VVIQ_score","true_recall_proportion","false_recall_proportion","encoding_modality","encoding_depth"
"1","058217","imag_association",21,0.614814814814815,0,"visual","deep"
"2","077402","verb_association",64,0.555555555555556,0.444444444444444,"verbal","deep"
"3","121818","imag_single",70,0.622222222222222,0.222222222222222,"visual","shallow"
"4","143678","verb_association",73,0.718518518518519,0.555555555555556,"verbal","deep"
"5","191144","imag_single",62,0.555555555555556,0.777777777777778,"visual","shallow"
"6","371642","verb_single",77,0.62962962962963,0.111111111111111,"verbal","shallow"
"7","453153","verb_association",74,0.444444444444444,0,"verbal","deep"
"8","510800","verb_association",80,0.503703703703704,0,"verbal","deep"
"9","522897","imag_association",57,0.481481481481481,0.444444444444444,"visual","deep"
"10","571749","verb_association",74,0.644444444444444,0.555555555555556,"verbal","deep"
"11","577763","imag_association",62,0.362962962962963,0.111111111111111,"visual","deep"
"12","593556","verb_association",53,0.303703703703704,0.333333333333333,"verbal","deep"
"13","643685","verb_single",76,0.422222222222222,0.111111111111111,"verbal","shallow"
"14","662545","imag_association",58,0.503703703703704,0.333333333333333,"visual","deep"
"15","665565","imag_association",56,0.696296296296296,0.111111111111111,"visual","deep"
"16","697823","imag_association",37,0.437037037037037,0.777777777777778,"visual","deep"
"17","746087","verb_single",69,0.474074074074074,0.222222222222222,"verbal","shallow"
"18","781513","verb_association",69,0.548148148148148,0.333333333333333,"verbal","deep"
"19","783294","imag_single",61,0.474074074074074,0.444444444444444,"visual","shallow"
"20","801388","imag_single",73,0.103703703777778,0,"visual","shallow"
"21","825709","imag_single",46,0.57037037037037,0.333333333333333,"visual","shallow"
"22","841811","imag_single",59,0.614814814814815,0.666666666666667,"visual","shallow"
"23","862003","imag_association",80,0.792592592592593,0.222222222222222,"visual","deep"
"24","936429","verb_single",74,0.622222222222222,0.111111111111111,"verbal","shallow"
"25","986610","verb_association",50,0.659259259259259,0.333333333333333,"verbal","deep"
"26","TgA3wccPQM9Has7","imag_single",65,0.555555555555556,0.777777777777778,"visual","shallow"
