"","participant","interference_type","encoding_strategy","true_recall_proportion","false_recall_proportion","VVIQ_score"
"1","058217","control","imag_association",0.622222222222222,0,21
"2","058217","verbal","imag_association",0.511111111111111,0,21
"3","058217","visual","imag_association",0.711111111111111,0,21
"4","077402","control","verb_association",0.577777777777778,0.333333333333333,64
"5","077402","verbal","verb_association",0.555555555555556,0.666666666666667,64
"6","077402","visual","verb_association",0.533333333333333,0.333333333333333,64
"7","121818","control","imag_single",0.6,0.333333333333333,70
"8","121818","verbal","imag_single",0.644444444444444,0.333333333333333,70
"9","121818","visual","imag_single",0.622222222222222,0,70
"10","143678","control","verb_association",0.733333333333333,0.333333333333333,73
"11","143678","verbal","verb_association",0.8,0.333333333333333,73
"12","143678","visual","verb_association",0.622222222222222,1,73
"13","191144","control","imag_single",0.644444444444444,1,62
"14","191144","verbal","imag_single",0.444444444444444,0.666666666666667,62
"15","191144","visual","imag_single",0.577777777777778,0.666666666666667,62
"16","371642","control","verb_single",0.688888888888889,0,77
"17","371642","verbal","verb_single",0.711111111111111,0.333333333333333,77
"18","371642","visual","verb_single",0.488888888888889,0,77
"19","453153","control","verb_association",0.466666666666667,0,74
"20","453153","verbal","verb_association",0.444444444444444,0,74
"21","453153","visual","verb_association",0.422222222222222,0,74
"22","510800","control","verb_association",0.488888888888889,0,80
"23","510800","verbal","verb_association",0.533333333333333,0,80
"24","510800","visual","verb_association",0.488888888888889,0,80
"25","522897","control","imag_association",0.6,0.666666666666667,57
"26","522897","verbal","imag_association",0.422222222222222,0.666666666666667,57
"27","522897","visual","imag_association",0.422222222222222,0,57
"28","571749","control","verb_association",0.577777777777778,0.333333333333333,74
"29","571749","verbal","verb_association",0.666666666666667,0.333333333333333,74
"30","571749","visual","verb_association",0.688888888888889,1,74
"31","577763","control","imag_association",0.311111111111111,0.333333333333333,62
"32","577763","verbal","imag_association",0.266666666666667,0,62
"33","577763","visual","imag_association",0.511111111111111,0,62
"34","593556","control","verb_association",0.288888888888889,0.666666666666667,53
"35","593556","verbal","verb_association",0.333333333333333,0,53
"36","593556","visual","verb_association",0.288888888888889,0.333333333333333,53
"37","643685","control","verb_single",0.533333333333333,0.333333333333333,76
"38","643685","verbal","verb_single",0.466666666666667,0,76
"39","643685","visual","verb_single",0.266666666666667,0,76
"40","662545","control","imag_association",0.577777777777778,0.333333333333333,58
"41","662545","verbal","imag_association",0.488888888888889,0.333333333333333,58
"42","662545","visual","imag_association",0.444444444444444,0.333333333333333,58
"43","665565","control","imag_association",0.711111111111111,0,56
"44","665565","verbal","imag_association",0.688888888888889,0.333333333333333,56
"45","665565","visual","imag_association",0.688888888888889,0,56
"46","697823","control","imag_association",0.311111111111111,0.666666666666667,37
"47","697823","verbal","imag_association",0.577777777777778,1,37
"48","697823","visual","imag_association",0.422222222222222,0.666666666666667,37
"49","746087","control","verb_single",0.555555555555556,0,69
"50","746087","verbal","verb_single",0.311111111111111,0.333333333333333,69
"51","746087","visual","verb_single",0.555555555555556,0.333333333333333,69
"52","781513","control","verb_association",0.533333333333333,0.333333333333333,69
"53","781513","verbal","verb_association",0.533333333333333,0.333333333333333,69
"54","781513","visual","verb_association",0.577777777777778,0.333333333333333,69
"55","783294","control","imag_single",0.511111111111111,0.333333333333333,61
"56","783294","verbal","imag_single",0.4,0.666666666666667,61
"57","783294","visual","imag_single",0.511111111111111,0.333333333333333,61
"58","801388","control","imag_single",0.088888889,0,73
"59","801388","verbal","imag_single",0.133333333333333,0,73
"60","801388","visual","imag_single",0.088888889,0,73
"61","825709","control","imag_single",0.622222222222222,0,46
"62","825709","verbal","imag_single",0.511111111111111,0.666666666666667,46
"63","825709","visual","imag_single",0.577777777777778,0.333333333333333,46
"64","841811","control","imag_single",0.688888888888889,0.333333333333333,59
"65","841811","verbal","imag_single",0.511111111111111,0.666666666666667,59
"66","841811","visual","imag_single",0.644444444444444,1,59
"67","862003","control","imag_association",0.8,0.333333333333333,80
"68","862003","verbal","imag_association",0.844444444444444,0,80
"69","862003","visual","imag_association",0.733333333333333,0.333333333333333,80
"70","936429","control","verb_single",0.733333333333333,0,74
"71","936429","verbal","verb_single",0.666666666666667,0,74
"72","936429","visual","verb_single",0.466666666666667,0.333333333333333,74
"73","986610","control","verb_association",0.711111111111111,0.666666666666667,50
"74","986610","verbal","verb_association",0.533333333333333,0.333333333333333,50
"75","986610","visual","verb_association",0.733333333333333,0,50
"76","TgA3wccPQM9Has7","control","imag_single",0.688888888888889,1,65
"77","TgA3wccPQM9Has7","verbal","imag_single",0.422222222222222,0.666666666666667,65
"78","TgA3wccPQM9Has7","visual","imag_single",0.555555555555556,0.666666666666667,65
